Robotun gezdiği yerler
X	-	Y
14	-	10
13	-	10
13	-	9
14	-	9
15	-	9
15	-	10
16	-	10
17	-	10
17	-	9
18	-	9
18	-	10
19	-	10
19	-	9
19	-	8
19	-	7
18	-	7
18	-	6
19	-	6
19	-	5
18	-	5
18	-	4
17	-	4
17	-	3
16	-	3
15	-	3
14	-	3
13	-	3
13	-	2
12	-	2
12	-	1
13	-	1
14	-	1
14	-	0
13	-	0
12	-	0
11	-	0
10	-	0
9	-	0
8	-	0
7	-	0
7	-	1
6	-	1
6	-	0
5	-	0
4	-	0
3	-	0
3	-	1
3	-	2
4	-	2
5	-	2
6	-	2
6	-	3
5	-	3
5	-	4
6	-	4
6	-	5
7	-	5
7	-	6
6	-	6
6	-	7
6	-	8
5	-	8
4	-	8
4	-	9
5	-	9
5	-	10
6	-	10
6	-	11
5	-	11
5	-	12
6	-	12
7	-	12
7	-	11
8	-	11
9	-	11
10	-	11
11	-	11
11	-	10
10	-	10
10	-	9
10	-	8
10	-	7
------------------
En Kısa Yol
X	-	Y
14	-	10
13	-	10
13	-	11
12	-	11
11	-	11
10	-	11
10	-	10
10	-	9
10	-	8
10	-	7
10	-	6
------------------
